country ,year,vertebrates_tot_end,vertebrates_thr_end,vertebrates_perc,mammals_tot_end,mammals_thr_end,mam_perc,birds_tot_end,birds_thr_end,bird_perc,amp_tot_end,amp_thr_end,amp_per,inverts_tot_end,inverts_thr_end,inverts_perc,crabs_tot_end,crabs_thr_end,crab_per,corals_tot_end,corals_thr_end,cor_per,plants_tot_end,plants_thr_end,plants_perc,conifers_tot_end,conifers_thr_end,con_per,cycads_tot_end,cycads_thr_end,cyd_per
sa,2010,89,31,34.83146067,31,11,35.48387097,16,4,25,42,16,38.0952381,7,1,0.1428571429,7,1,14.28571429,0,0,0,32,20,62.5,3,2,66.66666667,29,18,62.06896552
sa,2011,88,32,36.36363636,31,11,35.48387097,15,4,26.66666667,42,17,40.47619048,7,1,0.1428571429,7,1,14.28571429,0,0,0,32,20,62.5,3,2,66.66666667,29,18,62.06896552
sa,2012,73,27,36.98630137,31,11,35.48387097,,,,42,16,38.0952381,7,1,0.1428571429,7,1,14.28571429,0,0,0,32,20,62.5,3,2,66.66666667,29,18,62.06896552
sa,2013,88,32,36.36363636,31,11,35.48387097,15,5,33.33333333,42,16,38.0952381,7,1,0.1428571429,7,1,14.28571429,0,0,0,31,19,61.29032258,2,1,50,29,18,62.06896552
sa,2014,91,33,36.26373626,31,11,35.48387097,17,6,35.29411765,43,16,37.20930233,7,1,0.1428571429,7,1,14.28571429,0,0,0,31,19,61.29032258,2,1,50,29,18,62.06896552
sa,2015,91,33,36.26373626,31,11,35.48387097,17,6,35.29411765,43,16,37.20930233,7,1,0.1428571429,7,1,14.28571429,0,0,0,31,19,61.29032258,2,1,50,29,18,62.06896552
sa,2016,91,32,35.16483516,31,11,35.48387097,17,6,35.29411765,43,15,34.88372093,7,1,0.1428571429,7,1,14.28571429,0,0,0,31,19,61.29032258,2,1,50,29,18,62.06896552
sa,2017,27,11,40.74074074,27,11,40.74074074,,,,,,,10,1,0.1,,,,,,,27,19,70.37037037,2,1,50,25,18,72
sa,2018,103,34,33.00970874,33,12,36.36363636,18,7,38.88888889,52,15,28.84615385,7,1,0.1428571429,7,1,14.28571429,0,0,0,27,19,70.37037037,2,1,50,25,18,72
sa,2019,106,34,32.0754717,36,12,33.33333333,18,7,38.88888889,52,15,28.84615385,7,1,0.1428571429,7,1,14.28571429,0,0,0,31,19,61.29032258,2,1,50,29,18,62.06896552
sa,2020,106,34,32.0754717,36,12,33.33333333,18,7,38.88888889,52,15,28.84615385,7,1,0.1428571429,7,1,14.28571429,0,0,0,31,19,61.29032258,2,1,50,29,18,62.06896552
usa,2010,353,104,29.46175637,104,20,19.23076923,67,35,52.23880597,182,49,26.92307692,9,3,0.3333333333,0,0,0,9,3,33.33333333,39,12,30.76923077,39,12,30.76923077,0,0,0
usa,2011,354,105,29.66101695,104,20,19.23076923,67,36,53.73134328,183,49,26.77595628,9,3,0.3333333333,0,0,0,9,3,33.33333333,39,11,28.20512821,39,11,28.20512821,0,0,0
usa,2012,287,69,24.04181185,104,20,19.23076923,,,,183,49,26.77595628,9,3,0.3333333333,0,0,0,9,3,33.33333333,40,11,27.5,40,11,27.5,0,0,0
usa,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usa,2014,354,104,29.37853107,102,18,17.64705882,69,37,53.62318841,183,49,26.77595628,9,3,0.3333333333,0,0,0,9,3,33.33333333,38,13,34.21052632,38,13,34.21052632,0,0,0
usa,2015,354,103,29.0960452,102,18,17.64705882,69,36,53.62318841,183,49,26.77595628,9,3,0.3333333333,0,0,0,9,3,33.33333333,38,13,34.21052632,38,13,34.21052632,0,0,0
usa,2016,360,103,28.61111111,102,17,16.66666667,75,37,49.33333333,183,49,26.77595628,9,3,0.3333333333,0,0,0,9,3,33.33333333,38,13,34.21052632,38,13,34.21052632,0,0,0
usa,2017,75,37,49.33333333,,,,75,37,47.43589744,,,,16,3,0.1875,,,,13,3,23.07692308,17,13,76.47058824,,,,0,0,0
usa,2018,363,110,30.3030303,104,20,19.23076923,76,41,53.94736842,183,49,26.77595628,9,3,0.3333333333,0,0,0,9,3,33.33333333,38,13,34.21052632,38,13,34.21052632,0,0,0
usa,2019,363,109,30.02754821,104,20,19.23076923,76,40,52.63157895,183,49,26.77595628,9,3,0.3333333333,0,0,0,9,3,33.33333333,38,13,34.21052632,38,13,34.21052632,0,0,0
usa,2020,363,109,30.02754821,104,20,19.23076923,76,40,52.63157895,183,49,26.77595628,9,3,0.3333333333,0,0,0,9,3,33.33333333,38,13,34.21052632,38,13,34.21052632,0,0,0